Service Name,Category,Keywords,Description
Amazon Athena,Analytics,Interactive Query; Serverless; SQL;,Serverless analytics service that allows you to run SQL queries directly on S3.
AWS Data Exchange,Analytics,Data Marketplace; Subscription; Data Sharing;,"Service to discover, subscribe to, and share datasets from various data providers."
AWS Data Pipeline,Analytics,Data Workflow; ETL; Scheduling;,Service that automates data workflows and simplifies data movement and transformation.
Amazon EMR (Map Reduce),Analytics,Hadoop; Spark; Big Data;,Scalable managed Hadoop and Spark service to run big data workloads easily.
AWS Glue,Analytics,ETL; Data Catalog; Serverless;,"Serverless ETL service that automates data discovery, preparation, and integration."
Amazon Kinesis,Analytics,Streaming; Real-time; Data;,"Service that collects, processes, and analyzes real-time data streams."
Amazon Kinesis Data Streams,Analytics,Real-time; Stream Processing; Shards;,Scalable streaming data service for real-time big data processing.
Amazon Kinesis Data Firehose,Analytics,Streaming; Delivery; S3;,"Service that automatically delivers streaming data to Amazon S3, Redshift, or Elasticsearch."
Amazon Managed Streaming for Apache Kafka (Amazon MSK),Analytics,Kafka; Managed; Streaming;,"Fully managed, scalable Apache Kafka service."
Amazon Managed Service for Apache Flink,Analytics,Flink; Stream Processing; Managed;,Managed Apache Flink service for real-time stream processing.
Amazon OpenSearch Service,Analytics,Search; Analytics; Elasticsearch;,"Managed search service for data search, analysis, and visualization."
Amazon QuickSight,Analytics,Business Intelligence; Visualization; Dashboard;,Fast cloud-based business intelligence and data visualization service.
Amazon Redshift,Analytics,Data Warehouse; Columnar Storage; SQL;,Service providing high-performance data warehousing and big data analytics with SQL support.
AWS Lake Formation,Analytics,Data Lake; Catalog; Security;,Service to quickly set up and securely manage data lakes.
Amazon CloudSearch,Analytics,Search; Managed; Full-text;,Managed search service providing search functionality for web and applications.
Amazon AppFlow,Application Integration,Data Integration; SaaS; Workflow;,Service that securely and automatically provides data flows between different applications.
AWS AppSync,Application Integration,GraphQL; API; Real-time;,GraphQL API service supporting real-time and offline synchronization.
Amazon EventBridge,Application Integration,Event Bus; Serverless; Event-driven;,Managed service that enables event-driven data transfer between applications.
Amazon MQ,Application Integration,Message Broker; ActiveMQ; RabbitMQ;,Fully managed message broker service facilitating communication between applications.
Amazon Simple Notification Service (SNS),Application Integration,Pub/Sub; Messaging; Notifications;,Managed service used to send messages and notifications between applications.
Amazon Simple Queue Service (SQS),Application Integration,Queue; Messaging; Decoupling;,Service used to decouple application components and provide asynchronous communication via message queues.
AWS Step Functions,Application Integration,Workflow; State Machine; Orchestration;,Service that visually orchestrates and automates workflows across different services.
Amazon Managed Workflows for Apache Airflow (MWAA),Application Integration,Airflow; Managed; Workflow;,Service to run Apache Airflow workflows in a managed environment.
Amazon Sumerian,AR and VR,3D; AR; VR;,Cloud-based platform to create AR/VR scenes and applications.
AWS Billing Conductor,AWS Cost Management,Billing; Custom Pricing; Cost Allocation;,Cost management service allowing customization and allocation of AWS billing.
AWS Budgets,AWS Cost Management,Budget; Alerts; Cost Tracking;,Service to monitor AWS costs and usage against budget targets.
AWS Cost and Usage Report,AWS Cost Management,Cost Report; Usage Report; CSV;,Service that provides detailed reports on AWS usage and costs.
AWS Cost Explorer,AWS Cost Management,Cost Visualization; Analytics;,Service to analyze and visualize AWS cost trends.
AWS Marketplace,AWS Cost Management,Software Marketplace; SaaS; AMI;,"Marketplace to discover, purchase, and deploy software and services on AWS."
